customer_id,user_type,username,password
994cd3ba-16a0-417a-922f-02ae4391787a,User,jcorker0,"kO7%5,!?"
6887e890-e0b2-440c-a548-ddc5e33278ab,User,nelias1,mA2/1W/{
4fa057df-0af0-4dac-b0ba-0e5edaed630f,User,qandrejs2,dC2&Z~%fy4M(
3596476a-07c3-41dd-9f5d-1bb60d3e1d54,User,kfilpi3,eM8}p$3GM*?G
95205116-5318-4822-934b-538ab84c80d0,User,rwagenen4,mH6~Igz}y|ov\
776a9b7a-55bd-4e31-b2ef-3b442fb726a1,User,fjakubovits5,dA4~!'t(k9yUh
90a4999d-bcc3-4d1b-b3f2-009eeb043172,User,jgirardet6,qC1@g@I}st+
fb571cf4-7c9e-4395-8960-ab8d3ddc2c88,User,nwinskill7,aS5?64q2x=Bm+Pq
979a24ea-20e8-4c22-a2e3-d79ac308d09c,User,mmalafe8,"vW0%RXnkR(,r"
f3e61e5c-5bcf-4251-b66e-fe4c6d8632b6,User,opinnell9,pQ5.sGNCpj3j)(
b1f63253-2f5b-4ace-bcdd-7664c00137b6,User,hbrownrigga,"oL9.""""FX4P.Hbe5!#"
d94b64cb-eb3e-41ed-8d64-38b948a4eaba,User,gtiplerb,gI2\!=LS
ee3e4c28-2066-480a-be9a-c5f63d528357,User,mguppeyc,iG2|@9SvURVr5<Y
769b33a3-28eb-47f5-b81b-20df4fe41435,User,tgiacobbinijacobd,"iA8,CMB6O"
2f5e1d9f-4e54-41d5-89cc-3e42318c324f,User,ldoucettee,"bE6#LL_R`YP&<""""'3"
995fe4c3-6f9d-40b1-bc05-122dd962ce42,User,kbernadotf,iR4%k~n`\x5
2e90bf2f-c4fc-4452-8d2d-b9999bc27585,User,elaterzag,"eY6,17%&&"
134fc756-318f-4262-9c1a-e7bbb6ea3036,User,ymalingh,nY5.99ShLA01#
2e4b56c2-f65b-437b-8fe9-3ba1353e2b98,User,gmossmani,sC7~\VrYVw
5ae2f41a-e69b-4408-aeeb-9bb71ab94d49,User,kpaulyj,yD0@M\WV*
9758c27c-f8d7-4e4a-8d98-aad8cd36048d,User,sregisk,"oS6%4,GdF+68A#F"
e5b0bbb5-67e1-4010-af08-61074a6162ee,User,mwewelll,sX5$1eJnwr
47876efe-d8db-424f-a841-e6522173d02c,User,gcuppleditchm,eA6/@O$h2'7fM\Oj
,Admin,bbrunningn,wP6'RjT#Y>
33f4f1d9-1003-45a3-b131-f3e14f4b96b3,User,rshielo,mQ5~g~@UeC$u+J
e1565084-f7d6-4e17-a535-e0cc171de1d4,User,pjorgesenp,kA7}Q!}Bmv%j
f3616307-e9fd-4a95-8118-27f4ff5559a5,User,lglantonq,vH4&?`9PiV0U
eba85161-99d1-40b9-b23e-96df045f06b6,User,swillshirer,xX2{M1BC
7d3770e8-b4d4-4d31-9296-e0b2526b7c72,User,eschilds,eA3>m!k|RLB
4d07bfcd-b8b8-4535-99e0-cfaa5c7a35e1,User,amathivont,lT4{'hW<.|lW
