customer_id,first_name,last_name,date_of_birth
994cd3ba-16a0-417a-922f-02ae4391787a,Jacqui,Corker,11/18/2006
6887e890-e0b2-440c-a548-ddc5e33278ab,Neilla,Elias,12/16/2003
4fa057df-0af0-4dac-b0ba-0e5edaed630f,Quinn,Andrejs,3/28/2006
3596476a-07c3-41dd-9f5d-1bb60d3e1d54,Ky,Filpi,12/17/2014
95205116-5318-4822-934b-538ab84c80d0,Renae,Wagenen,2/22/2021
776a9b7a-55bd-4e31-b2ef-3b442fb726a1,Frederico,Jakubovits,9/7/2009
90a4999d-bcc3-4d1b-b3f2-009eeb043172,Janene,Girardet,4/28/2018
fb571cf4-7c9e-4395-8960-ab8d3ddc2c88,Nike,Winskill,10/16/2005
979a24ea-20e8-4c22-a2e3-d79ac308d09c,Mia,Malafe,7/14/2016
f3e61e5c-5bcf-4251-b66e-fe4c6d8632b6,Oralia,Pinnell,5/14/2014
b1f63253-2f5b-4ace-bcdd-7664c00137b6,Holmes,Brownrigg,9/26/2016
d94b64cb-eb3e-41ed-8d64-38b948a4eaba,Grannie,Tipler,1/5/2017
ee3e4c28-2066-480a-be9a-c5f63d528357,Mady,Guppey,12/25/2006
769b33a3-28eb-47f5-b81b-20df4fe41435,Toni,Giacobbini-Jacob,8/2/2013
2f5e1d9f-4e54-41d5-89cc-3e42318c324f,Lamar,Doucette,10/28/2020
995fe4c3-6f9d-40b1-bc05-122dd962ce42,Korry,Bernadot,6/22/2002
2e90bf2f-c4fc-4452-8d2d-b9999bc27585,Ezmeralda,Laterza,12/12/2003
134fc756-318f-4262-9c1a-e7bbb6ea3036,Yorke,Maling,3/11/2015
2e4b56c2-f65b-437b-8fe9-3ba1353e2b98,Gay,Mossman,10/7/2002
5ae2f41a-e69b-4408-aeeb-9bb71ab94d49,Karrah,Pauly,4/26/2012
9758c27c-f8d7-4e4a-8d98-aad8cd36048d,Sonnie,Regis,12/3/2009
e5b0bbb5-67e1-4010-af08-61074a6162ee,Mable,Wewell,3/26/2004
47876efe-d8db-424f-a841-e6522173d02c,Gage,Cuppleditch,7/7/2004
33f4f1d9-1003-45a3-b131-f3e14f4b96b3,Rebekkah,Shiel,4/3/2015
e1565084-f7d6-4e17-a535-e0cc171de1d4,Patrice,Jorgesen,10/23/2012
f3616307-e9fd-4a95-8118-27f4ff5559a5,Lily,Glanton,12/21/2022
eba85161-99d1-40b9-b23e-96df045f06b6,Steffen,Willshire,6/6/2010
7d3770e8-b4d4-4d31-9296-e0b2526b7c72,Elnora,Schild,7/23/2023
4d07bfcd-b8b8-4535-99e0-cfaa5c7a35e1,Ava,Mathivon,9/1/2020
c723ce76-c550-4ed7-af5b-0107d7da12fc,Marcelo,Berkley,10/6/2015
430faa41-9bbb-4f99-bea1-6d8f7595fdaf,Jory,Servante,2/5/2013
7012e9e5-c3bb-4af9-9972-832356e34c7f,Yettie,Elsdon,1/12/2010
f957dd7c-8548-424d-9d7d-026c5364bb3d,Tamas,Dominicacci,3/27/2018
9406df53-9db4-41ac-b430-cce5ce85ba7e,Estrella,Leacock,12/14/2001
7711ed1e-dd04-4508-aa63-05d364cb2e59,Charin,Castledine,9/16/2016
671784d5-0bc5-40f9-8904-9681a3ec00c3,Milton,Beadle,10/15/2007
48b20902-6b29-4155-a4b8-28cd929d01c4,Trevor,Challis,7/27/2004
