customer_id,address,type
994cd3ba-16a0-417a-922f-02ae4391787a,78 Bonner Lane,Residential
6887e890-e0b2-440c-a548-ddc5e33278ab,3188 Morning Alley,Residential
4fa057df-0af0-4dac-b0ba-0e5edaed630f,96956 Springview Terrace,Residential
4fa057df-0af0-4dac-b0ba-0e5edaed630f,9145 Hoffman Park,Residential
3596476a-07c3-41dd-9f5d-1bb60d3e1d54,66 Pine View Crossing,Residential
95205116-5318-4822-934b-538ab84c80d0,5243 Prairieview Trail,Residential
776a9b7a-55bd-4e31-b2ef-3b442fb726a1,527 Crescent Oaks Circle,Residential
90a4999d-bcc3-4d1b-b3f2-009eeb043172,1 Morningstar Circle,Residential
fb571cf4-7c9e-4395-8960-ab8d3ddc2c88,2 Bunker Hill Plaza,Residential
979a24ea-20e8-4c22-a2e3-d79ac308d09c,0763 Armistice Pass,Residential
f3e61e5c-5bcf-4251-b66e-fe4c6d8632b6,1151 Magdeline Trail,Residential
b1f63253-2f5b-4ace-bcdd-7664c00137b6,32389 Dryden Avenue,Residential
b1f63253-2f5b-4ace-bcdd-7664c00137b6,3792 Logan Way,Residential
b1f63253-2f5b-4ace-bcdd-7664c00137b6,70 Weeping Birch Way,Residential
d94b64cb-eb3e-41ed-8d64-38b948a4eaba,69982 Sunnyside Street,Commercial
ee3e4c28-2066-480a-be9a-c5f63d528357,58248 Burning Wood Lane,Residential
769b33a3-28eb-47f5-b81b-20df4fe41435,9 Mitchell Lane,Residential
2f5e1d9f-4e54-41d5-89cc-3e42318c324f,39047 Messerschmidt Street,Residential
995fe4c3-6f9d-40b1-bc05-122dd962ce42,43056 South Court,Commercial
995fe4c3-6f9d-40b1-bc05-122dd962ce42,37889 Bobwhite Point,Commercial
2e90bf2f-c4fc-4452-8d2d-b9999bc27585,9 Lillian Point,Residential
134fc756-318f-4262-9c1a-e7bbb6ea3036,3 Kennedy Trail,Residential
2e4b56c2-f65b-437b-8fe9-3ba1353e2b98,1996 Tennyson Pass,Residential
5ae2f41a-e69b-4408-aeeb-9bb71ab94d49,7295 Center Plaza,Residential
9758c27c-f8d7-4e4a-8d98-aad8cd36048d,2998 Straubel Center,Residential
e5b0bbb5-67e1-4010-af08-61074a6162ee,31400 Becker Place,Residential
e5b0bbb5-67e1-4010-af08-61074a6162ee,710 Kinsman Drive,Residential
47876efe-d8db-424f-a841-e6522173d02c,3 Forest Dale Court,Residential
33f4f1d9-1003-45a3-b131-f3e14f4b96b3,7128 Bluejay Point,Residential
33f4f1d9-1003-45a3-b131-f3e14f4b96b3,69 Transport Drive,Residential
e1565084-f7d6-4e17-a535-e0cc171de1d4,803 Steensland Alley,Commercial
f3616307-e9fd-4a95-8118-27f4ff5559a5,4 Division Plaza,Residential
eba85161-99d1-40b9-b23e-96df045f06b6,460 Truax Park,Residential
7d3770e8-b4d4-4d31-9296-e0b2526b7c72,05356 Mosinee Park,Residential
7d3770e8-b4d4-4d31-9296-e0b2526b7c72,85 Utah Circle,Residential
4d07bfcd-b8b8-4535-99e0-cfaa5c7a35e1,328 Anzinger Street,Residential
c723ce76-c550-4ed7-af5b-0107d7da12fc,7403 Anthes Terrace,Residential
430faa41-9bbb-4f99-bea1-6d8f7595fdaf,6436 Fairfield Street,Residential
7012e9e5-c3bb-4af9-9972-832356e34c7f,3384 North Terrace,Residential
f957dd7c-8548-424d-9d7d-026c5364bb3d,89962 Northland Crossing,Residential
9406df53-9db4-41ac-b430-cce5ce85ba7e,630 Washington Crossing,Residential
7711ed1e-dd04-4508-aa63-05d364cb2e59,409 Bay Parkway,Commercial
7711ed1e-dd04-4508-aa63-05d364cb2e59,7 5th Circle,Commercial
671784d5-0bc5-40f9-8904-9681a3ec00c3,7 Bunting Way,Residential
671784d5-0bc5-40f9-8904-9681a3ec00c3,7 Southridge Center,Residential
48b20902-6b29-4155-a4b8-28cd929d01c4,994 Towne Terrace,Residential
